From	To	Species	Gene Name
202494_at	ppie	Homo sapiens	peptidylprolyl isomerase E (cyclophilin E)
206199_at	CEACAM7	Homo sapiens	carcinoembryonic antigen-related cell adhesion molecule 7
217457_s_at	Rap1gds1	Homo sapiens	RAP1, GTP-GDP dissociation stimulator 1
219809_at	Wdr55	Homo sapiens	WD repeat domain 55
216137_s_at	MAPK8IP3	Homo sapiens	mitogen-activated protein kinase 8 interacting protein 3
201609_x_at	icmt	Homo sapiens	isoprenylcysteine carboxyl methyltransferase
204014_at	DUSP4	Homo sapiens	dual specificity phosphatase 4
213747_at	AZIN1	Homo sapiens	antizyme inhibitor 1
216829_at	IGKV1-5	Homo sapiens	immunoglobulin kappa variable 1-5
204813_at	MAPK10	Homo sapiens	mitogen-activated protein kinase 10
210510_s_at	NRP1	Homo sapiens	neuropilin 1
206020_at	SOCS6	Homo sapiens	suppressor of cytokine signaling 6
218471_s_at	Bbs1	Homo sapiens	Bardet-Biedl syndrome 1
215752_at	sik2	Homo sapiens	salt-inducible kinase 2
220917_s_at	WDR19	Homo sapiens	WD repeat domain 19
213126_at	Med8	Homo sapiens	mediator complex subunit 8
206256_at	cpn1	Homo sapiens	carboxypeptidase N, polypeptide 1
212864_at	Cds2	Homo sapiens	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2
208724_s_at	RAB1A	Homo sapiens	RAB1A, member RAS oncogene family
200983_x_at	CD59	Homo sapiens	CD59 molecule, complement regulatory protein
207778_at	REG1A	Homo sapiens	regenerating islet-derived 1 alpha; regenerating islet-derived 1 pseudogene
207778_at	REG1P	Homo sapiens	regenerating islet-derived 1 alpha; regenerating islet-derived 1 pseudogene
208354_s_at	SLC12A3	Homo sapiens	solute carrier family 12 (sodium/chloride transporters), member 3
202181_at	kiaa0247	Homo sapiens	KIAA0247
211696_x_at	HBB	Homo sapiens	hemoglobin, beta
217409_at	MYO5A	Homo sapiens	myosin VA (heavy chain 12, myoxin)
220218_at	c9orf68	Homo sapiens	chromosome 9 open reading frame 68
204475_at	Mmp1	Homo sapiens	matrix metallopeptidase 1 (interstitial collagenase)
219616_at	ACSS3	Homo sapiens	acyl-CoA synthetase short-chain family member 3
219814_at	Mbnl3	Homo sapiens	muscleblind-like 3 (Drosophila)
208614_s_at	FLNB	Homo sapiens	filamin B, beta (actin binding protein 278)
219405_at	TRIM68	Homo sapiens	tripartite motif-containing 68
209016_s_at	Krt7	Homo sapiens	keratin 7
209823_x_at	HLA-DQB1	Homo sapiens	major histocompatibility complex, class II, DQ beta 1; similar to major histocompatibility complex, class II, DQ beta 1
209823_x_at	LOC100133583	Homo sapiens	major histocompatibility complex, class II, DQ beta 1; similar to major histocompatibility complex, class II, DQ beta 1
203748_x_at	RBMS1	Homo sapiens	RNA binding motif, single stranded interacting protein 1
212275_s_at	Srcap	Homo sapiens	Snf2-related CREBBP activator protein
219170_at	FSD1	Homo sapiens	fibronectin type III and SPRY domain containing 1
217745_s_at	naa50	Homo sapiens	N-acetyltransferase 13 (GCN5-related)
213292_s_at	Snx13	Homo sapiens	sorting nexin 13
220433_at	PRRG3	Homo sapiens	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)
203773_x_at	BLVRA	Homo sapiens	biliverdin reductase A
219447_s_at	SLC35C2	Homo sapiens	solute carrier family 35, member C2
202385_s_at	TCOF1	Homo sapiens	Treacher Collins-Franceschetti syndrome 1
208595_s_at	mbd1	Homo sapiens	methyl-CpG binding domain protein 1
220294_at	KCNV1	Homo sapiens	potassium channel, subfamily V, member 1
200960_x_at	CLTA	Homo sapiens	clathrin, light chain (Lca)
213584_s_at	Crebzf	Homo sapiens	CREB/ATF bZIP transcription factor
206049_at	SELP	Homo sapiens	selectin P (granule membrane protein 140kDa, antigen CD62)
200650_s_at	LdhA	Homo sapiens	lactate dehydrogenase A
212550_at	Stat5b	Homo sapiens	signal transducer and activator of transcription 5B
209063_x_at	Paip1	Homo sapiens	poly(A) binding protein interacting protein 1; similar to poly(A) binding protein interacting protein 1
209063_x_at	LOC645139	Homo sapiens	poly(A) binding protein interacting protein 1; similar to poly(A) binding protein interacting protein 1
201864_at	GDI1	Homo sapiens	GDP dissociation inhibitor 1
217547_x_at	ZNF675	Homo sapiens	zinc finger protein 675
219933_at	GLRX2	Homo sapiens	glutaredoxin 2
213572_s_at	SERPINB1	Homo sapiens	serpin peptidase inhibitor, clade B (ovalbumin), member 1
202173_s_at	vezf1	Homo sapiens	vascular endothelial zinc finger 1
212093_s_at	MTUS1	Homo sapiens	mitochondrial tumor suppressor 1
213550_s_at	TMCO6	Homo sapiens	transmembrane and coiled-coil domains 6
204840_s_at	EEA1	Homo sapiens	early endosome antigen 1
217504_at	Abca6	Homo sapiens	ATP-binding cassette, sub-family A (ABC1), member 6
206094_x_at	UGT1A7	Homo sapiens	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1
206094_x_at	Ugt1a1	Homo sapiens	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1
206094_x_at	UGT1A4	Homo sapiens	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1
206094_x_at	Ugt1a8	Homo sapiens	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1
206094_x_at	Ugt1a9	Homo sapiens	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1
206094_x_at	Ugt1a6	Homo sapiens	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1
206094_x_at	Ugt1a5	Homo sapiens	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1
206094_x_at	Ugt1a10	Homo sapiens	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1
206094_x_at	Ugt1a3	Homo sapiens	UDP glucuronosyltransferase 1 family, polypeptide A3; UDP glucuronosyltransferase 1 family, polypeptide A5; UDP glucuronosyltransferase 1 family, polypeptide A4; UDP glucuronosyltransferase 1 family, polypeptide A7; UDP glucuronosyltransferase 1 family, polypeptide A6; UDP glucuronosyltransferase 1 family, polypeptide A10; UDP glucuronosyltransferase 1 family, polypeptide A9; UDP glucuronosyltransferase 1 family, polypeptide A8; UDP glucuronosyltransferase 1 family, polypeptide A1
209200_at	MEF2C	Homo sapiens	myocyte enhancer factor 2C
213359_at	HNRNPD	Homo sapiens	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
220961_s_at	TBRG4	Homo sapiens	transforming growth factor beta regulator 4
218641_at	C11orf95	Homo sapiens	hypothetical protein LOC65998
219352_at	herc6	Homo sapiens	hect domain and RLD 6
207232_s_at	DZIP3	Homo sapiens	DAZ interacting protein 3, zinc finger
204754_at	HLF	Homo sapiens	hepatic leukemia factor
203063_at	Ppm1f	Homo sapiens	protein phosphatase 1F (PP2C domain containing)
209007_s_at	C1orf63	Homo sapiens	chromosome 1 open reading frame 63
215856_at	Siglec15	Homo sapiens	sialic acid binding Ig-like lectin 15
218640_s_at	plekhf2	Homo sapiens	pleckstrin homology domain containing, family F (with FYVE domain) member 2
219956_at	Galnt6	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 6 (GalNAc-T6)
211098_x_at	tmco1	Homo sapiens	transmembrane and coiled-coil domains 1
213671_s_at	mars	Homo sapiens	methionyl-tRNA synthetase
205288_at	CDC14A	Homo sapiens	CDC14 cell division cycle 14 homolog A (S. cerevisiae)
208194_s_at	STAM2	Homo sapiens	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2
213929_at	EXPH5	Homo sapiens	exophilin 5
220821_at	GALR1	Homo sapiens	galanin receptor 1
221259_s_at	Tex11	Homo sapiens	testis expressed 11
219938_s_at	pstpip2	Homo sapiens	proline-serine-threonine phosphatase interacting protein 2
218469_at	GREM1	Homo sapiens	gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)
200621_at	CSRP1	Homo sapiens	cysteine and glycine-rich protein 1
201380_at	CRTAP	Homo sapiens	cartilage associated protein
204223_at	PRELP	Homo sapiens	proline/arginine-rich end leucine-rich repeat protein
213174_at	ttc9	Homo sapiens	tetratricopeptide repeat domain 9
211358_s_at	Ciz1	Homo sapiens	CDKN1A interacting zinc finger protein 1
209195_s_at	Adcy6	Homo sapiens	adenylate cyclase 6
209413_at	b4galt2	Homo sapiens	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2
221888_at	cc2d1a	Homo sapiens	coiled-coil and C2 domain containing 1A
208439_s_at	FCN2	Homo sapiens	ficolin (collagen/fibrinogen domain containing lectin) 2 (hucolin)
216170_at	EEF1G	Homo sapiens	eukaryotic translation elongation factor 1 gamma
212705_x_at	PNPLA2	Homo sapiens	patatin-like phospholipase domain containing 2
209500_x_at	Tnfsf12-Tnfsf13	Homo sapiens	TNFSF12-TNFSF13 readthrough transcript; tumor necrosis factor (ligand) superfamily, member 12; tumor necrosis factor (ligand) superfamily, member 13
209500_x_at	Tnfsf13	Homo sapiens	TNFSF12-TNFSF13 readthrough transcript; tumor necrosis factor (ligand) superfamily, member 12; tumor necrosis factor (ligand) superfamily, member 13
209500_x_at	Tnfsf12	Homo sapiens	TNFSF12-TNFSF13 readthrough transcript; tumor necrosis factor (ligand) superfamily, member 12; tumor necrosis factor (ligand) superfamily, member 13
204752_x_at	PARP2	Homo sapiens	poly (ADP-ribose) polymerase 2
211324_s_at	RGPD6	Homo sapiens	RANBP2-like and GRIP domain containing 5; RANBP2-like and GRIP domain containing 4; RANBP2-like and GRIP domain containing 3; RANBP2-like and GRIP domain containing 8; RANBP2-like and GRIP domain containing 7; RANBP2-like and GRIP domain containing 6
211324_s_at	RGPD5	Homo sapiens	RANBP2-like and GRIP domain containing 5; RANBP2-like and GRIP domain containing 4; RANBP2-like and GRIP domain containing 3; RANBP2-like and GRIP domain containing 8; RANBP2-like and GRIP domain containing 7; RANBP2-like and GRIP domain containing 6
211324_s_at	RGPD8	Homo sapiens	RANBP2-like and GRIP domain containing 5; RANBP2-like and GRIP domain containing 4; RANBP2-like and GRIP domain containing 3; RANBP2-like and GRIP domain containing 8; RANBP2-like and GRIP domain containing 7; RANBP2-like and GRIP domain containing 6
211324_s_at	RGPD4	Homo sapiens	RANBP2-like and GRIP domain containing 5; RANBP2-like and GRIP domain containing 4; RANBP2-like and GRIP domain containing 3; RANBP2-like and GRIP domain containing 8; RANBP2-like and GRIP domain containing 7; RANBP2-like and GRIP domain containing 6
211324_s_at	RGPD3	Homo sapiens	RANBP2-like and GRIP domain containing 5; RANBP2-like and GRIP domain containing 4; RANBP2-like and GRIP domain containing 3; RANBP2-like and GRIP domain containing 8; RANBP2-like and GRIP domain containing 7; RANBP2-like and GRIP domain containing 6
209988_s_at	Ascl1	Homo sapiens	achaete-scute complex homolog 1 (Drosophila)
208830_s_at	SUPT6H	Homo sapiens	suppressor of Ty 6 homolog (S. cerevisiae)
207216_at	Tnfsf8	Homo sapiens	tumor necrosis factor (ligand) superfamily, member 8
205916_at	S100A7	Homo sapiens	S100 calcium binding protein A7
218440_at	MCCC1	Homo sapiens	methylcrotonoyl-Coenzyme A carboxylase 1 (alpha)
201096_s_at	ARF4	Homo sapiens	ADP-ribosylation factor 4
219498_s_at	BCL11A	Homo sapiens	B-cell CLL/lymphoma 11A (zinc finger protein)
222369_at	NAA40	Homo sapiens	N-acetyltransferase 11 (GCN5-related, putative)
202163_s_at	cnot8	Homo sapiens	CCR4-NOT transcription complex, subunit 8
209331_s_at	MAX	Homo sapiens	MYC associated factor X
208329_at	PBOV1	Homo sapiens	prostate and breast cancer overexpressed 1
206650_at	IQCC	Homo sapiens	IQ motif containing C
217123_x_at	PMCHL1	Homo sapiens	pro-melanin-concentrating hormone-like 1
217893_s_at	AKIRIN1	Homo sapiens	akirin 1
220926_s_at	edem3	Homo sapiens	ER degradation enhancer, mannosidase alpha-like 3
216284_at	CDC14B	Homo sapiens	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
218384_at	carhsp1	Homo sapiens	calcium regulated heat stable protein 1, 24kDa
210142_x_at	flot1	Homo sapiens	flotillin 1
206442_at	Semg1	Homo sapiens	semenogelin I
220577_at	GVIN1	Homo sapiens	GTPase, very large interferon inducible 1
215654_at	BCAT2	Homo sapiens	branched chain aminotransferase 2, mitochondrial
217731_s_at	itm2b	Homo sapiens	integral membrane protein 2B
202354_s_at	GTF2F1	Homo sapiens	general transcription factor IIF, polypeptide 1, 74kDa
220009_at	LONRF3	Homo sapiens	LON peptidase N-terminal domain and ring finger 3
208572_at	HIST3H3	Homo sapiens	histone cluster 3, H3
217423_at	TTLL2	Homo sapiens	tubulin tyrosine ligase-like family, member 2
214969_at	MAP3K9	Homo sapiens	mitogen-activated protein kinase kinase kinase 9
213263_s_at	PCBP2	Homo sapiens	poly(rC) binding protein 2
213974_at	Adamtsl3	Homo sapiens	ADAMTS-like 3
211536_x_at	MAP3K7	Homo sapiens	mitogen-activated protein kinase kinase kinase 7
210656_at	eed	Homo sapiens	embryonic ectoderm development
210937_s_at	pdx1	Homo sapiens	pancreatic and duodenal homeobox 1
212579_at	SMCHD1	Homo sapiens	structural maintenance of chromosomes flexible hinge domain containing 1
202780_at	oxct1	Homo sapiens	3-oxoacid CoA transferase 1
219133_at	OXSM	Homo sapiens	3-oxoacyl-ACP synthase, mitochondrial
202721_s_at	GFPT1	Homo sapiens	glutamine-fructose-6-phosphate transaminase 1
209643_s_at	PLD2	Homo sapiens	phospholipase D2
211756_at	PTHLH	Homo sapiens	parathyroid hormone-like hormone
217942_at	MRPS35	Homo sapiens	mitochondrial ribosomal protein S35
207822_at	Fgfr1	Homo sapiens	fibroblast growth factor receptor 1
204306_s_at	cd151	Homo sapiens	CD151 molecule (Raph blood group)
214279_s_at	Ndrg2	Homo sapiens	NDRG family member 2
221278_at	HOXB8	Homo sapiens	homeobox B8
205210_at	TGFBRAP1	Homo sapiens	transforming growth factor, beta receptor associated protein 1
211719_x_at	fn1	Homo sapiens	fibronectin 1
213405_at	RAB22A	Homo sapiens	RAB22A, member RAS oncogene family
213891_s_at	TCF4	Homo sapiens	transcription factor 4
214789_x_at	SFRS2B	Homo sapiens	splicing factor, arginine/serine-rich 2B
218501_at	ARHGEF3	Homo sapiens	Rho guanine nucleotide exchange factor (GEF) 3
210236_at	ppfia1	Homo sapiens	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
204657_s_at	SHB	Homo sapiens	Src homology 2 domain containing adaptor protein B
202366_at	Acads	Homo sapiens	acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain
211257_x_at	ZNF638	Homo sapiens	zinc finger protein 638
217422_s_at	CD22	Homo sapiens	CD22 molecule
219984_s_at	HRASLS	Homo sapiens	HRAS-like suppressor
202421_at	igsf3	Homo sapiens	immunoglobulin superfamily, member 3
206828_at	TXK	Homo sapiens	TXK tyrosine kinase
208042_at	AGGF1	Homo sapiens	angiogenic factor with G patch and FHA domains 1
215015_at	CCDC64	Homo sapiens	coiled-coil domain containing 64
211063_s_at	NCK1	Homo sapiens	NCK adaptor protein 1
211276_at	TCEAL2	Homo sapiens	transcription elongation factor A (SII)-like 2
208350_at	Csn1s1	Homo sapiens	casein alpha s1
205604_at	HOXD9	Homo sapiens	homeobox D9
204027_s_at	mettl1	Homo sapiens	methyltransferase like 1
215164_at	TCF4	Homo sapiens	transcription factor 4
217851_s_at	slmo2	Homo sapiens	slowmo homolog 2 (Drosophila)
220874_at	Astn2	Homo sapiens	astrotactin 2
215448_at	KCNH7	Homo sapiens	potassium voltage-gated channel, subfamily H (eag-related), member 7
208904_s_at	RPS28P6	Homo sapiens	ribosomal protein S28 pseudogene 6; ribosomal protein S28 pseudogene 9; ribosomal protein S28
208904_s_at	RPS28	Homo sapiens	ribosomal protein S28 pseudogene 6; ribosomal protein S28 pseudogene 9; ribosomal protein S28
208904_s_at	RPS28P9	Homo sapiens	ribosomal protein S28 pseudogene 6; ribosomal protein S28 pseudogene 9; ribosomal protein S28
219583_s_at	SPATA7	Homo sapiens	spermatogenesis associated 7
205705_at	ANKRD26	Homo sapiens	ankyrin repeat domain 26
219549_s_at	RTN3	Homo sapiens	reticulon 3
216001_at	PRAMEF12	Homo sapiens	PRAME family member 12
211699_x_at	hba2	Homo sapiens	hemoglobin, alpha 2; hemoglobin, alpha 1
211699_x_at	HBA1	Homo sapiens	hemoglobin, alpha 2; hemoglobin, alpha 1
204809_at	clpX	Homo sapiens	ClpX caseinolytic peptidase X homolog (E. coli)
210667_s_at	C21orf33	Homo sapiens	chromosome 21 open reading frame 33
219221_at	ZBTB38	Homo sapiens	zinc finger and BTB domain containing 38
205280_at	GLRB	Homo sapiens	glycine receptor, beta
213137_s_at	PTPN2	Homo sapiens	protein tyrosine phosphatase, non-receptor type 2
42361_g_at	cchcr1	Homo sapiens	coiled-coil alpha-helical rod protein 1
204258_at	CHD1	Homo sapiens	chromodomain helicase DNA binding protein 1
207477_at	PRO2958	Homo sapiens	hypothetical LOC100128329
221106_at	SLC22A17	Homo sapiens	solute carrier family 22, member 17
207132_x_at	PFDN5	Homo sapiens	prefoldin subunit 5
201983_s_at	egfr	Homo sapiens	epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)
218559_s_at	Mafb	Homo sapiens	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
206632_s_at	APOBEC3B	Homo sapiens	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B
215051_x_at	Aif1	Homo sapiens	allograft inflammatory factor 1
222261_at	KIAA1609	Homo sapiens	KIAA1609
212482_at	Rmnd5a	Homo sapiens	required for meiotic nuclear division 5 homolog A (S. cerevisiae)
214378_at	TFPI	Homo sapiens	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
200734_s_at	ARF3	Homo sapiens	ADP-ribosylation factor 3
221783_at	WIZ	Homo sapiens	widely interspaced zinc finger motifs
216274_s_at	SEC11A	Homo sapiens	SEC11 homolog A (S. cerevisiae)
