From	To	Species	Gene Name
A_23_P69329	Hyal1	Homo sapiens	hyaluronoglucosaminidase 1
A_23_P69326	CADPS	Homo sapiens	Ca++-dependent secretion activator
A_23_P206310	KIAA0513	Homo sapiens	KIAA0513
A_23_P167358	C4orf29	Homo sapiens	chromosome 4 open reading frame 29
A_23_P132147	CRYAA	Homo sapiens	crystallin, alpha A
A_24_P134195	Myadm	Homo sapiens	myeloid-associated differentiation marker
A_23_P27048	TMEM199	Homo sapiens	transmembrane protein 199
A_23_P350754	OR7E13P	Homo sapiens	olfactory receptor, family 7, subfamily E, member 13 pseudogene
A_23_P40295	c20orf103	Homo sapiens	chromosome 20 open reading frame 103
A_23_P124417	BUB1	Homo sapiens	budding uninhibited by benzimidazoles 1 homolog (yeast)
A_23_P400147	ccdc61	Homo sapiens	coiled-coil domain containing 61
A_32_P226567	upf3a	Homo sapiens	UPF3 regulator of nonsense transcripts homolog A (yeast)
A_23_P250002	HACE1	Homo sapiens	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1
A_23_P144684	ANKRD32	Homo sapiens	ankyrin repeat domain 32
A_32_P722809	IGKV1-5	Homo sapiens	immunoglobulin kappa variable 1-5
A_24_P68631	HIST2H2AB	Homo sapiens	histone cluster 2, H2ab
A_23_P76914	six1	Homo sapiens	SIX homeobox 1
A_23_P41734	RNF130	Homo sapiens	ring finger protein 130
A_23_P300090	slc10a7	Homo sapiens	solute carrier family 10 (sodium/bile acid cotransporter family), member 7
A_23_P17522	NKX2-2	Homo sapiens	NK2 homeobox 2
A_23_P16078	PAFAH1B3	Homo sapiens	platelet-activating factor acetylhydrolase, isoform Ib, subunit 3 (29kDa)
A_23_P122863	GRB10	Homo sapiens	growth factor receptor-bound protein 10
A_23_P416965	FAM149A	Homo sapiens	family with sequence similarity 149, member A
A_23_P150064	MMRN2	Homo sapiens	multimerin 2
A_23_P132159	usp18	Homo sapiens	ubiquitin specific peptidase 18
A_23_P83579	ARNT2	Homo sapiens	aryl-hydrocarbon receptor nuclear translocator 2
A_23_P167367	pitx2	Homo sapiens	paired-like homeodomain 2
A_23_P341349	capn10	Homo sapiens	calpain 10
A_23_P89199	Cops3	Homo sapiens	COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)
A_23_P139388	rsf1	Homo sapiens	remodeling and spacing factor 1
A_24_P941988	SPAST	Homo sapiens	spastin
A_23_P124402	HTR3C	Homo sapiens	5-hydroxytryptamine (serotonin) receptor 3, family member C
A_23_P304304	ARSF	Homo sapiens	arylsulfatase F
A_23_P69362	Ccdc51	Homo sapiens	coiled-coil domain containing 51
A_23_P17512	HARS2	Homo sapiens	histidyl-tRNA synthetase 2, mitochondrial (putative); D-tyrosyl-tRNA deacylase 1 homolog (S. cerevisiae)
A_23_P17512	DTD1	Homo sapiens	histidyl-tRNA synthetase 2, mitochondrial (putative); D-tyrosyl-tRNA deacylase 1 homolog (S. cerevisiae)
A_24_P97197	Ctdsp1	Homo sapiens	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1
A_23_P76918	TIMM9	Homo sapiens	translocase of inner mitochondrial membrane 9 homolog (yeast)
A_23_P359430	NBPF14	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_23_P359430	NBPF15	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_23_P359430	NBPF10	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_23_P359430	NBPF12	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_23_P359430	NBPF1	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_23_P359430	NBPF11	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_23_P359430	AE01	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_23_P359430	LOC200030	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_23_P359430	KIAA1245	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_23_P359430	NBPF9	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_23_P359430	NBPF8	Homo sapiens	neuroblastoma breakpoint family, member 15; neuroblastoma breakpoint family, member 14; neuroblastoma breakpoint family, member 9; neuroblastoma breakpoint family, member 11; neuroblastoma breakpoint family, member 11-like; neuroblastoma breakpoint family, member 10; neuroblastoma breakpoint family, member 12; neuroblastoma breakpoint family, member 20; neuroblastoma breakpoint family, member 1; KIAA1245; neuroblastoma breakpoint family, member 8
A_32_P98072	TCHH	Homo sapiens	trichohyalin
A_23_P140760	GPR97	Homo sapiens	G protein-coupled receptor 97
A_23_P16063	Grik5	Homo sapiens	glutamate receptor, ionotropic, kainate 5
A_23_P352870	PVRL2	Homo sapiens	poliovirus receptor-related 2 (herpesvirus entry mediator B)
A_23_P122852	SMARCD3	Homo sapiens	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3
A_32_P213624	rtcd1	Homo sapiens	RNA terminal phosphate cyclase domain 1
A_23_P144677	LNPEP	Homo sapiens	leucyl/cystinyl aminopeptidase
A_23_P139396	C11orf73	Homo sapiens	chromosome 11 open reading frame 73
A_23_P150053	acta2	Homo sapiens	actin, alpha 2, smooth muscle, aorta
A_23_P166248	RCAN1	Homo sapiens	regulator of calcineurin 1
A_23_P164100	C17orf64	Homo sapiens	chromosome 17 open reading frame 64
A_23_P27066	ube2g1	Homo sapiens	ubiquitin-conjugating enzyme E2G 1 (UBC7 homolog, yeast)
A_23_P133694	Slc29a1	Homo sapiens	solute carrier family 29 (nucleoside transporters), member 1
A_23_P133691	Rragd	Homo sapiens	Ras-related GTP binding D
A_24_P23034	Znfx1	Homo sapiens	zinc finger, NFX1-type containing 1
A_24_P344516	ZNF702P	Homo sapiens	zinc finger protein 702 pseudogene
A_23_P43946	SARNP	Homo sapiens	SAP domain containing ribonucleoprotein
A_23_P110569	TRIM36	Homo sapiens	tripartite motif-containing 36
A_23_P257971	Akr1c1	Homo sapiens	aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)
A_23_P17503	KIF16B	Homo sapiens	kinesin family member 16B
A_24_P62367	dlgap1	Homo sapiens	discs, large (Drosophila) homolog-associated protein 1
A_32_P6172	LOC100128822	Homo sapiens	hypothetical LOC100128822
A_32_P56397	LOC731789	Homo sapiens	hypothetical LOC731789
A_23_P167389	arap3	Homo sapiens	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3
A_23_P27075	GABARAP	Homo sapiens	GABA(A) receptor-associated protein
A_23_P140738	FAM38A	Homo sapiens	family with sequence similarity 38, member A
A_32_P198990	LOC100131929	Homo sapiens	hypothetical LOC100131929
A_23_P409626	HNRNPUL2	Homo sapiens	heterogeneous nuclear ribonucleoprotein U-like 2
A_23_P377214	Hexim2	Homo sapiens	hexamthylene bis-acetamide inducible 2
A_23_P150009	ZDHHC16	Homo sapiens	zinc finger, DHHC-type containing 16
A_23_P377212	myeov2	Homo sapiens	myeloma overexpressed 2
A_23_P16058	ZNF296	Homo sapiens	zinc finger protein 296
A_23_P302060	Ifne	Homo sapiens	interferon, epsilon
A_23_P133629	CDC23	Homo sapiens	cell division cycle 23 homolog (S. cerevisiae)
A_24_P351466	kiaa1524	Homo sapiens	KIAA1524
A_23_P409623	Ppfibp2	Homo sapiens	PTPRF interacting protein, binding protein 2 (liprin beta 2)
A_23_P129835	PPP1R1B	Homo sapiens	protein phosphatase 1, regulatory (inhibitor) subunit 1B
A_23_P69383	PARP9	Homo sapiens	poly (ADP-ribose) polymerase family, member 9
A_23_P254498	Rangrf	Homo sapiens	RAN guanine nucleotide release factor
A_23_P132175	RTN4R	Homo sapiens	reticulon 4 receptor
A_23_P110531	Fst	Homo sapiens	follistatin
A_24_P941922	CNOT4	Homo sapiens	CCR4-NOT transcription complex, subunit 4
A_23_P56604	Il1rl2	Homo sapiens	interleukin 1 receptor-like 2
A_23_P152136	gins3	Homo sapiens	GINS complex subunit 3 (Psf3 homolog)
A_23_P140748	ndrg4	Homo sapiens	NDRG family member 4
A_23_P344125	ism2	Homo sapiens	isthmin 2 homolog (zebrafish)
A_23_P144656	Cdh10	Homo sapiens	cadherin 10, type 2 (T2-cadherin)
A_23_P133637	HTR4	Homo sapiens	5-hydroxytryptamine (serotonin) receptor 4
A_23_P41789	SLC27A6	Homo sapiens	solute carrier family 27 (fatty acid transporter), member 6
A_23_P168329	TINAG	Homo sapiens	tubulointerstitial nephritis antigen
A_23_P365817	ppp1r14b	Homo sapiens	protein phosphatase 1, regulatory (inhibitor) subunit 14B
A_24_P306443	LOC100132288	Homo sapiens	hypothetical protein LOC100132288
A_24_P336137	C22orf23	Homo sapiens	chromosome 22 open reading frame 23
A_23_P129829	Ormdl3	Homo sapiens	ORM1-like 3 (S. cerevisiae)
A_24_P941930	EAF1	Homo sapiens	ELL associated factor 1
A_24_P75220	MAGI1	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1; CNKSR family member 3
A_24_P75220	CNKSR3	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1; CNKSR family member 3
A_32_P56392	LOC100129585	Homo sapiens	similar to RNA binding motif protein, X-linked; similar to hCG2011544; RNA binding motif protein, X-linked
A_32_P56392	LOC100131735	Homo sapiens	similar to RNA binding motif protein, X-linked; similar to hCG2011544; RNA binding motif protein, X-linked
A_32_P56392	RBMX	Homo sapiens	similar to RNA binding motif protein, X-linked; similar to hCG2011544; RNA binding motif protein, X-linked
A_24_P48791	Eif2s2	Homo sapiens	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa
A_23_P255535	Asmt	Homo sapiens	acetylserotonin O-methyltransferase
A_23_P331895	Ttyh3	Homo sapiens	tweety homolog 3 (Drosophila)
A_23_P40240	CTSZ	Homo sapiens	cathepsin Z
A_24_P287473	Sav1	Homo sapiens	salvador homolog 1 (Drosophila)
A_23_P254472	c6orf211	Homo sapiens	chromosome 6 open reading frame 211
A_23_P140716	TPSD1	Homo sapiens	tryptase delta 1
A_24_P897062	ZNF736	Homo sapiens	similar to hCG40110
A_23_P168339	Mas1	Homo sapiens	MAS1 oncogene
A_24_P928052	NRP1	Homo sapiens	neuropilin 1
A_32_P71571	Fam19a4	Homo sapiens	family with sequence similarity 19 (chemokine (C-C motif)-like), member A4
A_23_P16032	TRAPPC2P1	Homo sapiens	trafficking protein particle complex 2; trafficking protein particle complex 2 pseudogene 1
A_23_P16032	TRAPPC2	Homo sapiens	trafficking protein particle complex 2; trafficking protein particle complex 2 pseudogene 1
A_23_P54477	Nop10	Homo sapiens	NOP10 ribonucleoprotein homolog (yeast)
A_23_P133648	FAM8A1	Homo sapiens	family with sequence similarity 8, member A1
A_23_P10647	Cytl1	Homo sapiens	cytokine-like 1
A_32_P120895	LYSMD2	Homo sapiens	LysM, putative peptidoglycan-binding, domain containing 2
A_24_P135753	ptplb	Homo sapiens	protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b
A_24_P54808	Klhl8	Homo sapiens	kelch-like 8 (Drosophila)
A_23_P255523	ALKBH4	Homo sapiens	alkB, alkylation repair homolog 4 (E. coli)
A_24_P75230	MYL12B	Homo sapiens	myosin, light chain 12B, regulatory
A_23_P144639	TMCO6	Homo sapiens	transmembrane and coiled-coil domains 6
A_23_P140725	IFT140	Homo sapiens	intraflagellar transport 140 homolog (Chlamydomonas)
A_24_P373174	Rab27a	Homo sapiens	RAB27A, member RAS oncogene family
A_24_P336113	CABIN1	Homo sapiens	calcineurin binding protein 1
A_32_P225415	FAM187B	Homo sapiens	family with sequence similarity 187, member B
A_23_P16022	ZNF256	Homo sapiens	zinc finger protein 256
A_23_P41765	Irf1	Homo sapiens	interferon regulatory factor 1
A_23_P150018	dusp5	Homo sapiens	dual specificity phosphatase 5
A_23_P122896	tfr2	Homo sapiens	transferrin receptor 2
A_24_P19228	Gamt	Homo sapiens	guanidinoacetate N-methyltransferase
A_23_P54488	Acsbg1	Homo sapiens	acyl-CoA synthetase bubblegum family member 1
A_24_P135748	GRTP1	Homo sapiens	growth hormone regulated TBC protein 1
A_23_P17548	DEFB118	Homo sapiens	defensin, beta 118
A_23_P129801	rab40b	Homo sapiens	RAB40B, member RAS oncogene family
A_23_P302038	POU4F2	Homo sapiens	POU class 4 homeobox 2
A_23_P124438	ZNF718	Homo sapiens	zinc finger protein 718
A_23_P111621	GTF2IRD1	Homo sapiens	GTF2I repeat domain containing 1
A_23_P166297	ABCG1	Homo sapiens	ATP-binding cassette, sub-family G (WHITE), member 1
A_32_P149546	Crocc	Homo sapiens	ciliary rootlet coiled-coil, rootletin
A_24_P916496	Prkca	Homo sapiens	protein kinase C, alpha
A_23_P7253	Larp1b	Homo sapiens	La ribonucleoprotein domain family, member 1B
A_23_P7250	CDS1	Homo sapiens	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1
A_23_P256470	NPY	Homo sapiens	neuropeptide Y
A_23_P128744	BDKRB1	Homo sapiens	bradykinin receptor B1
A_23_P16006	ZNF600	Homo sapiens	zinc finger protein 600
A_23_P256473	SEMA3C	Homo sapiens	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
A_23_P55504	OR3A2	Homo sapiens	olfactory receptor, family 3, subfamily A, member 2
A_23_P169409	C9orf23	Homo sapiens	chromosome 9 open reading frame 23
A_23_P330301	MMD2	Homo sapiens	monocyte to macrophage differentiation-associated 2
A_23_P39542	C2orf76	Homo sapiens	chromosome 2 open reading frame 76
A_23_P151059	FAM90A1	Homo sapiens	family with sequence similarity 90, member A1
A_24_P24142	RPS2P18	Homo sapiens	ribosomal protein S2 pseudogene 18
A_23_P39525	FAM124B	Homo sapiens	family with sequence similarity 124B
A_23_P111635	STYXL1	Homo sapiens	serine/threonine/tyrosine interacting-like 1
A_23_P254442	ZNF783	Homo sapiens	zinc finger family member 783
A_23_P345692	il17d	Homo sapiens	interleukin 17D
A_23_P60180	ABL1	Homo sapiens	c-abl oncogene 1, receptor tyrosine kinase
A_23_P128734	ERH	Homo sapiens	enhancer of rudimentary homolog (Drosophila)
A_32_P210252	rpl22	Homo sapiens	ribosomal protein L22 pseudogene 11; ribosomal protein L22
A_32_P210252	RPL22P11	Homo sapiens	ribosomal protein L22 pseudogene 11; ribosomal protein L22
A_24_P97145	KIDINS220	Homo sapiens	kinase D-interacting substrate, 220kDa
A_23_P252306	id1	Homo sapiens	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein
A_23_P502590	KIR2DS2	Homo sapiens	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2; killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4
A_23_P502590	KIR2DS4	Homo sapiens	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2; killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 4
A_23_P40217	DOK5	Homo sapiens	docking protein 5
A_23_P306610	MUC17	Homo sapiens	mucin 17, cell surface associated
A_23_P257911	USP16	Homo sapiens	ubiquitin specific peptidase 16
A_23_P55515	rnmt	Homo sapiens	RNA (guanine-7-) methyltransferase
A_32_P149536	SUMO3	Homo sapiens	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae) pseudogene; SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae); SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)
A_32_P149536	SUMO2P	Homo sapiens	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae) pseudogene; SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae); SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)
A_32_P149536	Sumo2	Homo sapiens	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae) pseudogene; SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae); SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)
A_23_P55518	SMAD7	Homo sapiens	SMAD family member 7
A_23_P151046	Klrc1	Homo sapiens	killer cell lectin-like receptor subfamily C, member 1
A_23_P255569	DUS1L	Homo sapiens	dihydrouridine synthase 1-like (S. cerevisiae)
A_23_P254434	RFPL2	Homo sapiens	ret finger protein-like 2; ret finger protein-like 3
A_23_P254434	RFPL3	Homo sapiens	ret finger protein-like 2; ret finger protein-like 3
A_23_P9496	lhx3	Homo sapiens	LIM homeobox 3
A_24_P911676	Sox4	Homo sapiens	SRY (sex determining region Y)-box 4
A_23_P128728	arg2	Homo sapiens	arginase, type II
A_23_P111604	nxph1	Homo sapiens	neurexophilin 1
A_23_P53390	PTPRB	Homo sapiens	protein tyrosine phosphatase, receptor type, B
A_23_P169428	trub2	Homo sapiens	TruB pseudouridine (psi) synthase homolog 2 (E. coli)
A_23_P404575	Rbm46	Homo sapiens	RNA binding motif protein 46
A_23_P256455	Rpa3	Homo sapiens	replication protein A3, 14kDa
A_24_P734953	trnP1	Homo sapiens	TMF1-regulated nuclear protein 1
A_23_P138253	c1orf77	Homo sapiens	chromosome 1 open reading frame 77
A_23_P60166	Depdc6	Homo sapiens	DEP domain containing 6
A_23_P71146	Pold2	Homo sapiens	polymerase (DNA directed), delta 2, regulatory subunit 50kDa
A_23_P71148	BLVRA	Homo sapiens	biliverdin reductase A
A_23_P151075	arhgdib	Homo sapiens	Rho GDP dissociation inhibitor (GDI) beta
A_23_P257905	Cenpb	Homo sapiens	centromere protein B, 80kDa
A_23_P39561	UBE2F	Homo sapiens	ubiquitin-conjugating enzyme E2F (putative)
A_24_P8109	ANO9	Homo sapiens	anoctamin 9
A_24_P83379	WDFY3	Homo sapiens	WD repeat and FYVE domain containing 3
A_23_P345674	ZNF71	Homo sapiens	zinc finger protein 71
A_23_P380240	CEACAM8	Homo sapiens	carcinoembryonic antigen-related cell adhesion molecule 8
A_23_P169437	Lcn2	Homo sapiens	lipocalin 2
A_23_P404565	SLC2A11	Homo sapiens	solute carrier family 2 (facilitated glucose transporter), member 11
A_23_P168306	WASF1	Homo sapiens	WAS protein family, member 1
A_24_P19268	ZNF714	Homo sapiens	zinc finger protein 714
A_24_P179585	MARK1	Homo sapiens	MAP/microtubule affinity-regulating kinase 1
A_23_P17593	CDH4	Homo sapiens	cadherin 4, type 1, R-cadherin (retinal)
A_23_P138262	PADI4	Homo sapiens	peptidyl arginine deiminase, type IV
A_23_P345678	Fancd2	Homo sapiens	Fanconi anemia, complementation group D2
A_23_P351866	NLRP8	Homo sapiens	NLR family, pyrin domain containing 8
A_23_P502575	Csnk2a1	Homo sapiens	casein kinase 2, alpha 1 polypeptide pseudogene; casein kinase 2, alpha 1 polypeptide
A_23_P502575	CSNK2A1P	Homo sapiens	casein kinase 2, alpha 1 polypeptide pseudogene; casein kinase 2, alpha 1 polypeptide
A_23_P39550	TMEM163	Homo sapiens	transmembrane protein 163
A_23_P209200	CCNE1	Homo sapiens	cyclin E1
A_23_P89101	Sept12	Homo sapiens	septin 12
A_24_P172768	gmfb	Homo sapiens	glia maturation factor, beta
A_24_P52887	Endou	Homo sapiens	26 serine protease
A_23_P125519	RPS4XP13	Homo sapiens	ribosomal protein S4X pseudogene 6; ribosomal protein S4X pseudogene 13; ribosomal protein S4, X-linked
A_23_P125519	rps4x	Homo sapiens	ribosomal protein S4X pseudogene 6; ribosomal protein S4X pseudogene 13; ribosomal protein S4, X-linked
A_23_P125519	RPS4XP6	Homo sapiens	ribosomal protein S4X pseudogene 6; ribosomal protein S4X pseudogene 13; ribosomal protein S4, X-linked
A_23_P214079	SPINK1	Homo sapiens	serine peptidase inhibitor, Kazal type 1
A_24_P307964	SOHLH1	Homo sapiens	spermatogenesis and oogenesis specific basic helix-loop-helix 1
A_23_P7212	Cfi	Homo sapiens	complement factor I
A_23_P151093	Yars2	Homo sapiens	tyrosyl-tRNA synthetase 2, mitochondrial
A_23_P350719	TMPRSS8P	Homo sapiens	transmembrane protease, serine pseudogene
A_23_P254415	RPSAP19	Homo sapiens	ribosomal protein SA pseudogene 9; ribosomal protein SA pseudogene 8; ribosomal protein SA pseudogene 58; ribosomal protein SA pseudogene 19; ribosomal protein SA pseudogene 18; ribosomal protein SA; ribosomal protein SA pseudogene 15; ribosomal protein SA pseudogene 61; ribosomal protein SA pseudogene 29; ribosomal protein SA pseudogene 12
A_23_P254415	rpsA	Homo sapiens	ribosomal protein SA pseudogene 9; ribosomal protein SA pseudogene 8; ribosomal protein SA pseudogene 58; ribosomal protein SA pseudogene 19; ribosomal protein SA pseudogene 18; ribosomal protein SA; ribosomal protein SA pseudogene 15; ribosomal protein SA pseudogene 61; ribosomal protein SA pseudogene 29; ribosomal protein SA pseudogene 12
A_23_P254415	RPSAP18	Homo sapiens	ribosomal protein SA pseudogene 9; ribosomal protein SA pseudogene 8; ribosomal protein SA pseudogene 58; ribosomal protein SA pseudogene 19; ribosomal protein SA pseudogene 18; ribosomal protein SA; ribosomal protein SA pseudogene 15; ribosomal protein SA pseudogene 61; ribosomal protein SA pseudogene 29; ribosomal protein SA pseudogene 12
A_23_P254415	RPSAP58	Homo sapiens	ribosomal protein SA pseudogene 9; ribosomal protein SA pseudogene 8; ribosomal protein SA pseudogene 58; ribosomal protein SA pseudogene 19; ribosomal protein SA pseudogene 18; ribosomal protein SA; ribosomal protein SA pseudogene 15; ribosomal protein SA pseudogene 61; ribosomal protein SA pseudogene 29; ribosomal protein SA pseudogene 12
A_23_P254415	RPSAP15	Homo sapiens	ribosomal protein SA pseudogene 9; ribosomal protein SA pseudogene 8; ribosomal protein SA pseudogene 58; ribosomal protein SA pseudogene 19; ribosomal protein SA pseudogene 18; ribosomal protein SA; ribosomal protein SA pseudogene 15; ribosomal protein SA pseudogene 61; ribosomal protein SA pseudogene 29; ribosomal protein SA pseudogene 12
